created_at,screen_name,text,target
Fri Feb 05 13:00:05 +0000 2016,elango2105,RT @PressPlayTVapp: Get all action from @AutoExpo2016  on #PressPlay! Download the App Now:  #automobile #AETMS16 ht…,Advertisement
Fri Feb 05 13:00:13 +0000 2016,sujaykoner,Now GO-cross Concept has added a sense of fun &amp; adventure to the line-up at the #DatsunPavilion #AETMS2016  ,Technology
Fri Feb 05 13:00:17 +0000 2016,NexaExperience,RT @AutoExpo2016: It's raining celebrities at #AETMS16! #Spotted the dashing @AnilKapoor at the @Maruti_Corp pavilion @NexaExperience https…,Entertainment
Fri Feb 05 13:00:18 +0000 2016,TheQuint,"The Honda BR-V at the #AutoExpo2016 , how does it look ? ",Automobile
Fri Feb 05 13:00:20 +0000 2016,diwamishra,RT @moneycontrolcom: BMW launches X5 xDrive30d M Sport priced at Rs 75.90 lakh  @odmag @BMW #AutoExpo2016 .…,Business
Fri Feb 05 13:00:24 +0000 2016,MultTweetMaster,RT @bmwindia: The young generation loves them too! #FutureOfLuxury #AutoExpo2016 ,Entertainment
Fri Feb 05 13:00:24 +0000 2016,gaadi,Here's a glimpse of the launches#AETMS16 #AutoExpo2016 @DatsunIndia @JeepIndia @Toyota_India  ,Others
Fri Feb 05 13:00:25 +0000 2016,Nurshantihilato,RT @SRKFC1: Video: @HyundaiIndia | Shah Rukh Khan | Auto Expo 2016.  ,Entertainment
Fri Feb 05 13:00:26 +0000 2016,NexaExperience,RT @odmag: 2016 Auto Expo: Maruti Baleno RS concept with 1.0-litre Boosterjet unveiled  ,Technology
Fri Feb 05 13:00:28 +0000 2016,V114212,"RT @trucks_dekho: Win Big!
Amazon Vouchers for the Post with maximum engagement. 
Participate in #TrucksAtExpoContest #AutoExpo2016 https:/…",Others
Fri Feb 05 13:00:29 +0000 2016,MrFukra,@DatsunIndia brings an exciting mix of products and breakthrough concepts at the #DatsunPavilion #AETMS2016 ,Technology
Fri Feb 05 13:00:29 +0000 2016,TheStatesmanLtd,"There's more to #AutoExpo than just cars and bikes
Read more at ",Automobile
Fri Feb 05 13:00:30 +0000 2016,GulatiTanpreet,@SoDelhi @FordIndia Cant wait to experience the FORD MUSTANG Live at the Auto Expo &lt;3 Experience worth cherishing #FordAtAutoExpo,Entertainment
Fri Feb 05 13:00:31 +0000 2016,V114212,"RT @trucks_dekho: List of popular trucks, tractors, tippers, pickups &amp; minis at @  #AutoExpo2016 #TrucksAtExpo https…",Automobile
Fri Feb 05 13:00:31 +0000 2016,Siddhantbarik1,"For all automobile enthusiasts,Day 1 peak in Delhi o@DatsunIndia 's #DatsunPavilion at the #AETMS2016 ",Entertainment
Fri Feb 05 13:00:35 +0000 2016,Kiranone77Kiran,RT @autocarindiamag: .@volkswagenindia #PoloGTI officially unveiled at @AutoExpo2016; India launch in September:  ht…,Entertainment
Fri Feb 05 13:00:45 +0000 2016,BloggerAnkit,Say YES to the dreams and life. Say YES to @DatsunIndia. Visit the #DatsunPavilion in #AutoExpo2016. ,Advertisement
Fri Feb 05 13:00:50 +0000 2016,gaadifix,"Spot our kiosk at Hall No. 2, Stall E1T &amp; tag us in your pictures at #AutoExpo2016.  #GaadiFix #AETMS16 #AETMS2016",Advertisement
Fri Feb 05 13:00:58 +0000 2016,sujaykoner,Check large five-spoke alloy wheels distinctive LED lights at front and rear completes GO #AETMS2016 #DatsunPavilion ,Advertisement
Fri Feb 05 13:01:05 +0000 2016,NehaYagnik,Loving the @DatsunIndia's #DatsunPavilion that showcasing awesomeness at #AETMS2016,Advertisement
Fri Feb 05 13:01:08 +0000 2016,IgnisJordan,RT @odmag: 2016 Auto Expo: Maruti Ignis compact SUV concept unveiled  ,Technology
Fri Feb 05 13:01:08 +0000 2016,TWlTTER_Manish,"RT @khabarbaazi: ??????? ??? ?? ????? ???? ???? ???? ???? ?? ??? ?????? ??? ???? ??? ?? ????, ????? ?? ???? ???????? ",Others
