Hashtags,Hashtag_count,Mentions,Mention_count,TermsOnly,Term_count,Language,Language_count,ScreenName,screenname_count,Places,places_count
#AutoExpo2016,7190,@AutoExpo2016,5164,Expo,9452,English,20937,JLRIndia,317,New Delhi,4687
#AETMS16,1764,@Nissan_India,1364,Auto,9235,Indonesian,532,TenNewsDotIn,143,Chennai,2571
#NissanPavilion,1714,@FordIndia,1007,2016,6334,Hindi,469,AutoExpo2016,126,Pacific Time (US & Canada),2266
#AETMS2016,1047,@honda2wheelerin,1001,India,1727,Tagalog,354,JBMAuto,99,Mumbai,1321
#ToyotaAtAutoExpo,889,@Toyota_India,880,new,1087,Spanish,235,Rajendra9Prasad,94,Hawaii,511
#FordPavilion,852,@akshaykumar,824,BMW,1056,Italian,148,khalidrafiq141,88,Kolkata,401
#RaceTrackToRoadWithAkshay,720,@GoodyearJOJ,597,2,1008,German,65,SouLSteer,83,Asia/Calcutta,223
#MomentsThatCount,620,@JLRIndia,577,Hall,785,French,58,rajvikra,75,Jakarta,168
#XTrail,569,@YouTube,497,car,775,Portuguese,50,AutoRevvin,61,Eastern Time (US & Canada),123
#DatsunPavilion,560,@DatsunIndia,489,pavilion,773,Estonian,34,PrajvinS,60,Bangkok,91
#LandRoverAtAutoExpo,532,@bmwindia,434,cars,773,Tamil,33,OnlineCarReview,54,Central Time (US & Canada),85
#IgniteTheExcitement,495,@Akkistaan,338,Honda,758,Dutch,29,Automotive_Live,54,London,57
#Tata,469,@AkshaySolapurFC,308,stall,721,Lithuanian,26,coool_kashish,53,Kiev,54
#NewBMW3Series,452,@HeroMotoCorp,296,expo,681,Kannada,25,_EXPO_News,48,Arizona,52
#AutoExpo,449,@Maruti_Corp,289,At,654,czech,21,magicalpriyanka,48,Alaska,43
#Auto,313,@RenaultIndia,272,Delhi,646,Haitian Creole,20,rushlane,46,Mountain Time (US & Canada),37
#HondaCarsAtAutoExpo,312,@trucks_dekho,233,experience,628,Nepali,20,sshhhsania,45,Amsterdam,35
#AccelerateWithHonda,303,@TheJohnAbraham,215,I,625,Russian,20,mymamasboy93,44,Atlantic Time (Canada),31
#ToyotaPremiumSUV,291,@HondaCarIndia,201,Indian,607,Polish,15,pjptl55,42,Nairobi,30
#MarutiSuzukiTransformotion,247,@MercedesBenzInd,197,best,606,Malayalam,15,NykhilChopra,42,International Date Line West,25
#GYatAutoEXPO16,236,@volkswagenindia,194,hybrid,603,Japenese,13,Manavparekh,40,Beijing,24
#GYatAutoExpo16,232,@MANJULtoons,182,Day,601,Romanian,13,TataMotors,40,Kuala Lumpur,23
#autoexpo2016,216,@AudiIN,174,A,576,Latvian,8,fajadwet,39,Athens,21
#cartoon,185,@TataMotors,169,Nissan,573,Arabic,8,RenaultIndia,39,Muscat,21
#madeofgreat,178,@anandmahindra,164,today,566,Welsh,6,BabuBeg,39,Indiana (East),21
#Guess,178,@madeofgreat,160,:/,565,Swedish,6,news_in_summary,39,Kathmandu,21
#ISayYes,173,@ibnlive,147,Watch,561,Bengali,6,AutoAdda,38,Bucharest,20
#TrucksAtExpo,169,@TOIAuto,146,Visit,538,Norwegian,5,FaiyazSurani,38,Baghdad,20
#JaguarXE,168,@NexaExperience,142,auto,524,Marathi,5,Shubham_096,37,Tokyo,19
#AkshayKumar,168,@India_Yamaha,142,us,520,Finish,4,MotorBeam,37,Karachi,18
#RenaultAtAutoExpo,157,@autocarindiamag,129,updates,513,Turkish,3,ankitlunia2011,36,Abu Dhabi,15
#HeroAutoExpo,155,@HyundaiIndia,128,Range,512,Gujrati,3,Pooja__G,35,Islamabad,13
#ContestAlert,154,@IndiaTriumph,124,’,509,Punjabi,3,Pkpandya,34,Quito,12
#GYatEXPO16,153,@iSanjivBharti,118,Here's,508,Greek,3,BosePratap,34,Dublin,10
#GoodYearAtExpo16,146,@IndiaToday,112,Catch,500,Danish,3,SanyaGill_18,34,Rome,10
#ExperienceHyundai,119,@AUTOTODAYMAG,111,Rover,497,Telugu,2,Anmol_77,34,Midway Island,10
#TechnologyTransformotion,119,@Gott_Partikel,108,New,496,icelandic,2,Tweet_Buddy4U,33,Kyiv,10
#iamatjbm,115,@indianautos,98,With,495,Sinhalese,2,hidden_keys,33,Asia/Dubai,10
#iendorsepublictransport,115,@iamsrk,95,SUV,492,Slovenian,2,vrsvno,33,Mexico City,10
#Honda,112,@927BIGFM,92,No,490,Bulgarian,1,Admire_Urself,32,Riyadh,10
#ASIMO,102,@insenroy,89,revealed,486,,,indiandrives,31,Berlin,9
#FordAtAutoExpo,100,@BWorldOnline,86,SVAutobiography,475,,,thehansindiaweb,31,Novosibirsk,9
#BestKeepWinning,99,@taapsee,86,9,473,,,its_ShubhamK,31,Greenland,9
